Part name:,Cost:,Quantity:,Link:,Use:
GT2 Genuine Gates RF ,15,3 Meters,https://west3d.com/products/gates-gt2-open-belt-ll-2gt-6-6mm-wide-voron-v0-v1-v2-switchwire?_pos=2&_sid=a456de566&_ss=r,Belting for XY gantry.
8mm OD CF rods,9,2x200mm,https://www.amazon.com/FOCMKEAS-Carbon-8mm-200mm-Airplane/dp/B0DGF26Q3T/ref=sr_1_7?crid=11WXZ9JUQUCVK&dib=eyJ2IjoiMSJ9.KSmmwfGRSF5eWiVN8T2_Tnm4aOYzxNwYWdRiiJiq1rBdR2dPHgYPELY703n7TTk9lE5y9dTi22qo-pY8KAoM_XAwRBsal4XN_sQO-5eoMmei37a-G9zYGQ0HFiH-3hIBcAMKd5AUWOzwARXccjKqi9BEPkXzeYV5ZXug622HuB6AmRO0JjLcgnGf_vQ798qP04suMHfOqkIQYF8p34nhm5Nz7sL5bkratOGYLRW-fog.SwhN6douS5WQpYJ4tXl1YJrbBYJ5mgKLupRHDbcWk8g&dib_tag=se&keywords=8mm%2Bcf%2Brod&qid=1774853045&sprefix=8mm%2Bcf%2Brod%2Caps%2C247&sr=8-7&th=1,Used as linear rod for gantry
T8 Leadscrew steppers,20,2x100mm,https://www.amazon.com/YEJMKJ-Stepper-Standard-56-64oz-1-65x1-65x1-57inch/dp/B0CX8Z2MGT/ref=sr_1_3?crid=KD3J73DQ9PQ6&dib=eyJ2IjoiMSJ9.CY2_32G4RfaUfq5ncqvuGC8yaYjVlb-vRpXAXz-mINbm7OaIQMcaUGKPcJ9xMrk5i3X-3ynpirH25N8QEJnqnyPD0osq7WJzOatVMTS-8LQhChPK-PkuTMxuFWj4sC09KyXQkSOe0s73rgbK-yq7qhTv3_r1zIzthyNMNOd34m0kV8IuzYzpXR247jGpB-eKh2MljcV-s8f5jCWXXNLQ41TKN3pvlc8pByEzGCefTxo.9jVLOtcVLGANrI9xTrLfJwvJCUHigCQTwkkiOrmJkI4&dib_tag=se&keywords=leadscrew%2Bstepper&qid=1774852863&sprefix=leadscrew%2Bstepp%2Caps%2C207&sr=8-3&th=1,Moves Z axis up and downward
"RJ4JP-01-0 Polymer bearings, LM8UU",12,4,https://www.amazon.com/Pieces-Drylin-RJ4JP-01-08-Printer-Bearing/dp/B076NRDP61/ref=sr_1_8?crid=2MKNZ7Z8N7CNS&dib=eyJ2IjoiMSJ9.PyAA5Qe7Q19TPPcVetBpHk2OeTxutsh8CK-8DnoCzdfYhEjaPnrsm0__aoLf5Iyln1HJ547JNcA2XaLI2VGd3TdWinGoFAKh3UTIuDhq_wWwZS65CJ0v4xDv37IPFLDmW0QqwCpmNnjBIYLFdggSCWTJKBAXrw2mmPz5CVniwOElpmY5mp2FWAo11MVUeOONh3GSFz1sLbOEo8-ZZHO6JvFSY15rb_HfRS7mNiQp3Q0.NpD6Yg8LD8uDTnlG52CWI9Fie5Zvq3JizW0xdUkJ1x8&dib_tag=se&keywords=lm8uu+polymer+igus&qid=1774852818&sprefix=lm8uu+polymer+igu%2Caps%2C198&sr=8-8,Polymer bushings to interact with CF linear rods. 
LM8UU bearings,10,12,https://www.amazon.com/MELIFE-Bearings-Bushing-Machine-Printer/dp/B0CL3WD28D/ref=sr_1_8?crid=2Y7X3ILI01IB5&dib=eyJ2IjoiMSJ9.Ky3ogP9yMQyEUH3wWpGrGyW7xun4JcVXHcVazDrRJQD3zS6qQt3EcFB3qXLfgAvkRiBWV1ekTzW-W1HtouX9jVgvI0GKP4Uv-q9EeTxhGyj7KAaksnRTXH0e-mXFdWa0OoNtbDla6QFIyrNySlLaZi9html7LWnjsnBVWTsbUbJ_FbWjQCLhlcRlMDYq9WBsgGIBjJQZli7W2Mh0zigrmgBwUQVFrqbGMsHCwk9Q4YQ.jAE0nImjIPkH9q_KGr_YvJkHs78q0WKP7YH9OSfbuQw&dib_tag=se&keywords=lm8uu&qid=1774852788&sprefix=lm8uu%2Caps%2C204&sr=8-8,"Bearings for Z axis, these contaact steel so they can be coventional "
8mm Stainless rods,9,2x300mm,https://www.amazon.com/Sissatthai-300mm-Stainless-Steel-Crafts/dp/B0F8R722PS/ref=sr_1_14?crid=392TR5GLHI8R4&dib=eyJ2IjoiMSJ9.KSmmwfGRSF5eWiVN8T2_Tnm4aOYzxNwYWdRiiJiq1rCpMbyvgbseV5zz2gfyqCI64YNimZqeRSP20-Y4wr_SI1jK8ScQ-WTVSp4TgZWmEGbyYEmiUDIHgk9dcGZxqpGxU6jab6ZMPgPwevW0El5ZAoN98_4ek1yNOU1RaewolITsXVpdOFzZBenG9tUSrLH1lOvnwwaMLNQe6646MpqkloyVt2s1gv99wPw0eU10ePA.PdI2Lj_2tdjbb2-JFEpz-TA0qgtW9ADt4Xbec0eg8NU&dib_tag=se&keywords=8mm%2Bcf%2Brod&qid=1774852739&sprefix=8mm%2Bcf%2Bro%2Caps%2C212&sr=8-14&th=1,Rods for Z axis
"48V (adjusted to 53v) PSU, 600W",30,1,https://www.amazon.com/BOSYTRO-Switching-Universal-Regulated-Equipment/dp/B0CSZ4MRD9/ref=sr_1_7?crid=1HTHQGD28MFIO&dib=eyJ2IjoiMSJ9.m4YJQcrLLkc4nQjqIUnkRemviPJl8YPBBbZTVpSqvC9WSoGSRebm3LT0CPpMwYs22_VYHKMWtSGXYWyMAARN4STSe5_ePu-qPtxUbtHbGi0sMd1mCp5NdwDu-2WIj5coezYQgAXKjhAscYxKR_VujiTFZ7DKmKAQ_Zz9DV_RhWK2s9GStK7SiE2XVcGiZfSr4IqiCsFDJkE0GN692wAF0z41CSbSoKZNqw6vp3oSeRE.YNfwbu6id_IRQx1VhdT_7GAE52nR00nO0ViGLUTNTUk&dib_tag=se&keywords=48v+psu&qid=1774853132&sprefix=48v+psu%2Caps%2C201&sr=8-7,HV system to power the motors.
120W 47MM heater cartridge,25,1,https://west3d.com/products/high-wattage-cartridge-heaters-24v-48v?variant=45489486135508,Upgraded heater cartridge to support higher flowrates and cooling losses
TMC 5160 PRO,70,4,https://www.amazon.com/BIGTREETECH-TMC5160T-High-Speed-Printing-Heatsink/dp/B09JS5YDQN/ref=sr_1_1?crid=A2CJ45S0HIWV&dib=eyJ2IjoiMSJ9.hL5yr9_PpyvoFnJmbgbvaeFd2PpZQUP20uSYj9Unudp5CvrAQW4KjHHLlY5_IVgyEWk_uCfTvyPfHsM2jhXdUyVVR0lmkgksoywEAvruwWapLyl8TeIjh4VbyYRTFoBk.5vkJw7s_WLhgv57ISnNIQTIqCO2GDyT600XFTbTu_sk&dib_tag=se&keywords=tmc%2B5160%2Bpro&qid=1774853355&sprefix=tmc%2B5160%2Bpr%2Caps%2C213&sr=8-1&th=1,TMC 5160 PRO drivers to support 3A and 56V. Per motor. 
MZE,16,2,https://www.amazon.com/Printer-Extender-Compatible-Extruder-heatblock/dp/B0CGTSNFNJ/ref=sr_1_1_pp?crid=3BN8RGHP5AFB6&dib=eyJ2IjoiMSJ9.dAktj5SHMOLinoQuuZbIqtn1WHagEKZ8gLNhzeBDNR9B8-CPULmj_7AjHdfR6D5GjMderkb38g_3XkPDOvh5Lmi3Naavv12RiXM3Qdb91oK3FFGWhaFJb8piNgJEB8MEBV28mWeMHN4wkC1H2UdjyyikNJHEVo4zuQPnudKWlZPFGakM_7iJ3VJDPCmWW5SuHTnRLCK5TUhwkuv8dBUeGfJ5ooqpQrQkNyul4pDkc0QpmBvAeG2rNiT5Y5wjVw3tqutBR-RSet6oAYv14SixtdA5_zx7l5JaEKTMzugP-0I.6jvzvJijyWxcO6ml1t1iCYzhRTQEXBc4h_kcCsQJ3Us&dib_tag=se&keywords=melt+zone+extender&qid=1774853668&sprefix=melt+zone+extend%2Caps%2C269&sr=8-1,MZE to increase meltzone length
